id,callproviderID,phonenumberID,customernumber,type,started,ended,milliseconds,cost fields,ended reason,transcript
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:56pm,5/15/2025 3:56pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 3:57pm,5/15/2025 3:57pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:02pm,5/15/2025 4:02pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:04pm,5/15/2025 4:04pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:04pm,5/15/2025 4:04pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:04pm,5/15/2025 4:04pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:04pm,5/15/2025 4:04pm,0.0,$0.00,,
"
",,,,outbound,5/15/2025 4:04pm,5/15/2025 4:04pm,0.0,$0.00,,
